"datetime";"value"
2017-01-07 12:00:00;30242.2
2017-01-07 13:00:00;30153
2017-01-07 14:00:00;29574.5
2017-01-07 15:00:00;28378.1
2017-01-07 16:00:00;28082.5
2017-01-07 17:00:00;28483.8
2017-01-07 18:00:00;31465.6
2017-01-07 19:00:00;32264.3
2017-01-07 20:00:00;32987.3
2017-01-07 21:00:00;33156.1
2017-01-07 22:00:00;31747.6
2017-01-07 23:00:00;29432.4
2017-01-08 00:00:00;27120.8
2017-01-08 01:00:00;24685.2
2017-01-08 02:00:00;22660.3
2017-01-08 03:00:00;21739.3
2017-01-08 04:00:00;21244.9
2017-01-08 05:00:00;21380.8
2017-01-08 06:00:00;21812.6
2017-01-08 07:00:00;22259.9
2017-01-08 08:00:00;23167.7
2017-01-08 09:00:00;25412.4
2017-01-08 10:00:00;27626.6
2017-01-08 11:00:00;28752.8
2017-01-08 12:00:00;28761.7
2017-01-08 13:00:00;28863.7
2017-01-08 14:00:00;29011.6
2017-01-08 15:00:00;28203.4
2017-01-08 16:00:00;26931.4
2017-01-08 17:00:00;27202.3
2017-01-08 18:00:00;30579.6
2017-01-08 19:00:00;32265.5
2017-01-08 20:00:00;33709.2
2017-01-08 21:00:00;34205.3
2017-01-08 22:00:00;32300.3
2017-01-08 23:00:00;29567.2
2017-01-09 00:00:00;26173.2
2017-01-09 01:00:00;23886.9
2017-01-09 02:00:00;22658.5
2017-01-09 03:00:00;22440.3
2017-01-09 04:00:00;22397.3
2017-01-09 05:00:00;22925.8
2017-01-09 06:00:00;26176.3
2017-01-09 07:00:00;31800.8
2017-01-09 08:00:00;36121.7
2017-01-09 09:00:00;37128
2017-01-09 10:00:00;37843.3
2017-01-09 11:00:00;37610.6
2017-01-09 12:00:00;36909.7
2017-01-09 13:00:00;36359.7
2017-01-09 14:00:00;35008.3
2017-01-09 15:00:00;34576.4
2017-01-09 16:00:00;34512.9
2017-01-09 17:00:00;35191.1
2017-01-09 18:00:00;37581.9
2017-01-09 19:00:00;38493.1
2017-01-09 20:00:00;38618.5
2017-01-09 21:00:00;37686.6
2017-01-09 22:00:00;35211.2
2017-01-09 23:00:00;31424.6
2017-01-10 00:00:00;28799.7
2017-01-10 01:00:00;25937.6
2017-01-10 02:00:00;24882.7
2017-01-10 03:00:00;23928.7
2017-01-10 04:00:00;23660.2
2017-01-10 05:00:00;24643.5
2017-01-10 06:00:00;27256.9
2017-01-10 07:00:00;32949
2017-01-10 08:00:00;36750.5
2017-01-10 09:00:00;37596.4
2017-01-10 10:00:00;37785.2
2017-01-10 11:00:00;37714.7
2017-01-10 12:00:00;37598
2017-01-10 13:00:00;37320.2
2017-01-10 14:00:00;36273.2
2017-01-10 15:00:00;35801.5
2017-01-10 16:00:00;35529.9
2017-01-10 17:00:00;36351.9
2017-01-10 18:00:00;38315.6
2017-01-10 19:00:00;39133.6
2017-01-10 20:00:00;39235.4
2017-01-10 21:00:00;37822.8
2017-01-10 22:00:00;34800.1
2017-01-10 23:00:00;30839.2
2017-01-11 00:00:00;28585.7
2017-01-11 01:00:00;26154.4
2017-01-11 02:00:00;24421.9
2017-01-11 03:00:00;23996.3
2017-01-11 04:00:00;24134
2017-01-11 05:00:00;24507.3
2017-01-11 06:00:00;27037.9
2017-01-11 07:00:00;32519.5
2017-01-11 08:00:00;35775.4
2017-01-11 09:00:00;36782.3
2017-01-11 10:00:00;36886
2017-01-11 11:00:00;36532.7
2017-01-11 12:00:00;36014.1
2017-01-11 13:00:00;35262.6
2017-01-11 14:00:00;34231.5
2017-01-11 15:00:00;33760.7
2017-01-11 16:00:00;33575.1
2017-01-11 17:00:00;34344.1
2017-01-11 18:00:00;36379.1
2017-01-11 19:00:00;37321.3
2017-01-11 20:00:00;37807.7
2017-01-11 21:00:00;36960
2017-01-11 22:00:00;34110.6
2017-01-11 23:00:00;31196.6
2017-01-12 00:00:00;28216.7
2017-01-12 01:00:00;25870.7
2017-01-12 02:00:00;24653.3
2017-01-12 03:00:00;23989.7
2017-01-12 04:00:00;23988.4
2017-01-12 05:00:00;24448.6
2017-01-12 06:00:00;27416
2017-01-12 07:00:00;32854.1
2017-01-12 08:00:00;35735.8
2017-01-12 09:00:00;36194.7
2017-01-12 10:00:00;36465.9
2017-01-12 11:00:00;35792.9
2017-01-12 12:00:00;34948.2
2017-01-12 13:00:00;34769
2017-01-12 14:00:00;33510.2
2017-01-12 15:00:00;33196.4
2017-01-12 16:00:00;33011.7
2017-01-12 17:00:00;33889.7
2017-01-12 18:00:00;36162.7
2017-01-12 19:00:00;37218.4
2017-01-12 20:00:00;36903.3
2017-01-12 21:00:00;36388.4
2017-01-12 22:00:00;33616
2017-01-12 23:00:00;30788.1
2017-01-13 00:00:00;27710.1
2017-01-13 01:00:00;25122.7
2017-01-13 02:00:00;24017.4
2017-01-13 03:00:00;23485
2017-01-13 04:00:00;23553
2017-01-13 05:00:00;24468.4
2017-01-13 06:00:00;26828.2
2017-01-13 07:00:00;31894.3
2017-01-13 08:00:00;34809.2
2017-01-13 09:00:00;35284.2
2017-01-13 10:00:00;36037
2017-01-13 11:00:00;35740.2
2017-01-13 12:00:00;35515.5
2017-01-13 13:00:00;34988.2
2017-01-13 14:00:00;33950.2
2017-01-13 15:00:00;33580.4
2017-01-13 16:00:00;33278
2017-01-13 17:00:00;33573.5
2017-01-13 18:00:00;35835.4
2017-01-13 19:00:00;36779.8
2017-01-13 20:00:00;36553.6
2017-01-13 21:00:00;36016.2
2017-01-13 22:00:00;34062
2017-01-13 23:00:00;31120.5
2017-01-14 00:00:00;28840.6
2017-01-14 01:00:00;26467.3
2017-01-14 02:00:00;24293
2017-01-14 03:00:00;23978.9
2017-01-14 04:00:00;23445.9
2017-01-14 05:00:00;23707.1
2017-01-14 06:00:00;24387.4
2017-01-14 07:00:00;25879
2017-01-14 08:00:00;27820.6
2017-01-14 09:00:00;30301.9
2017-01-14 10:00:00;32557.5
2017-01-14 11:00:00;32796
2017-01-14 12:00:00;32344.2
2017-01-14 13:00:00;32194.4
2017-01-14 14:00:00;31490.4
2017-01-14 15:00:00;30232.3
2017-01-14 16:00:00;29560.6
2017-01-14 17:00:00;29592.1
2017-01-14 18:00:00;32299.7
2017-01-14 19:00:00;33552.2
2017-01-14 20:00:00;33976.3
2017-01-14 21:00:00;33683.2
2017-01-14 22:00:00;32556.3
2017-01-14 23:00:00;29890.7
2017-01-15 00:00:00;27239.2
2017-01-15 01:00:00;25451.8
2017-01-15 02:00:00;23264
2017-01-15 03:00:00;22254
2017-01-15 04:00:00;22090.5
2017-01-15 05:00:00;22061.2
2017-01-15 06:00:00;22697.2
2017-01-15 07:00:00;23500.7
2017-01-15 08:00:00;24256.2
2017-01-15 09:00:00;26349.2
2017-01-15 10:00:00;28806.4
2017-01-15 11:00:00;29826.9
2017-01-15 12:00:00;29646.9
2017-01-15 13:00:00;30071.1
2017-01-15 14:00:00;29889.2
2017-01-15 15:00:00;28674.4
2017-01-15 16:00:00;27855.2
2017-01-15 17:00:00;28134.4
2017-01-15 18:00:00;30412.3
2017-01-15 19:00:00;32630.3
2017-01-15 20:00:00;33841.1
2017-01-15 21:00:00;33855
2017-01-15 22:00:00;32334.9
2017-01-15 23:00:00;29440.9
2017-01-16 00:00:00;26657.4
2017-01-16 01:00:00;24662.5
2017-01-16 02:00:00;23401.1
2017-01-16 03:00:00;22741.1
2017-01-16 04:00:00;22764.4
2017-01-16 05:00:00;23948.4
2017-01-16 06:00:00;26961.9
2017-01-16 07:00:00;32219
2017-01-16 08:00:00;35802.1
2017-01-16 09:00:00;37365.3
2017-01-16 10:00:00;37846.6
2017-01-16 11:00:00;37535.1
2017-01-16 12:00:00;36360.3
