"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A"
"SP1","22/09/16","Osasuna","Espanol",1,2,"A",17,10,11,2,16,14,7,1,2,1,0,0,2.88,3.2,2.6
"SP1","22/09/16","Valencia","Alaves",2,1,"H",12,8,2,1,14,13,7,4,2,3,0,0,1.57,3.75,6
"SP1","23/09/16","Betis","Malaga",1,0,"H",11,16,4,6,20,15,6,5,4,6,0,0,2.6,3.1,2.9
"SP1","24/09/16","Ath Bilbao","Sevilla",3,1,"H",14,5,7,2,9,9,4,5,2,2,0,1,2.05,3.4,3.75
"SP1","24/09/16","Eibar","Sociedad",2,0,"H",17,3,3,0,15,13,5,3,4,2,0,1,2.45,3.2,3
"SP1","24/09/16","Las Palmas","Real Madrid",2,2,"D",8,27,6,11,7,19,0,5,3,2,0,0,8.5,5,1.36
"SP1","24/09/16","Sp Gijon","Barcelona",0,5,"A",10,13,3,7,15,10,4,3,1,0,1,0,13,6.5,1.22
"SP1","25/09/16","Ath Madrid","La Coruna",1,0,"H",21,8,5,1,13,19,10,0,1,2,0,1,1.22,5.5,19
"SP1","25/09/16","Espanol","Celta",0,2,"A",10,12,2,4,15,13,4,7,2,3,0,0,2.25,3.3,3.3
"SP1","25/09/16","Leganes","Valencia",1,2,"A",7,10,3,4,19,17,1,5,4,4,0,0,2.8,3.2,2.6
"SP1","25/09/16","Villarreal","Osasuna",3,1,"H",12,11,5,3,7,16,5,5,0,2,0,0,1.4,4.33,9.5
"SP1","26/09/16","Alaves","Granada",3,1,"H",16,13,6,3,15,19,5,6,3,3,0,0,2.1,3.3,3.75
"SP1","30/09/16","Sociedad","Betis",1,0,"H",16,5,8,2,17,22,4,2,2,3,0,0,1.8,3.5,4.75
"SP1","01/10/16","Granada","Leganes",0,1,"A",8,9,1,3,13,20,6,4,1,0,0,0,2.45,3.3,3
"SP1","01/10/16","La Coruna","Sp Gijon",2,1,"H",21,7,6,2,17,26,11,4,0,4,0,0,1.95,3.4,4.2
"SP1","01/10/16","Osasuna","Las Palmas",2,2,"D",5,17,3,5,17,7,1,12,3,4,0,0,2.6,3.2,2.8
"SP1","01/10/16","Sevilla","Alaves",2,1,"H",20,6,12,1,10,13,9,2,2,6,0,0,1.44,4.33,8
"SP1","02/10/16","Celta","Barcelona",4,3,"H",14,13,9,4,16,11,3,6,1,3,0,0,8,4.75,1.4
"SP1","02/10/16","Espanol","Villarreal",0,0,"D",9,5,1,1,14,10,3,1,2,2,0,0,2.88,3.1,2.63
"SP1","02/10/16","Malaga","Ath Bilbao",2,1,"H",15,7,3,1,19,11,7,2,7,3,1,1,2.45,3,3.3
"SP1","02/10/16","Real Madrid","Eibar",1,1,"D",15,7,3,4,8,15,7,5,4,5,0,0,1.08,11,26
"SP1","02/10/16","Valencia","Ath Madrid",0,2,"A",14,17,5,10,10,15,6,5,1,3,0,0,4.5,3.5,1.85
"SP1","14/10/16","Las Palmas","Espanol",0,0,"D",13,5,8,2,13,21,8,4,2,3,0,0,1.95,3.4,4.2
"SP1","15/10/16","Ath Madrid","Granada",7,1,"H",17,9,11,2,14,8,11,3,1,1,0,0,1.13,10,17
"SP1","15/10/16","Barcelona","La Coruna",4,0,"H",25,7,8,0,5,15,8,2,1,2,0,1,1.1,10,26
"SP1","15/10/16","Betis","Real Madrid",1,6,"A",13,22,2,9,14,8,2,5,4,1,0,0,8,5.25,1.36
"SP1","15/10/16","Leganes","Sevilla",2,3,"A",19,5,6,4,17,20,5,2,2,5,0,0,3.4,3.2,2.25
"SP1","16/10/16","Alaves","Malaga",1,1,"D",8,12,4,5,14,14,6,7,3,3,1,1,2.6,3,3
"SP1","16/10/16","Ath Bilbao","Sociedad",3,2,"H",15,6,11,3,17,19,7,4,3,3,0,0,1.83,3.6,4.4
"SP1","16/10/16","Sp Gijon","Valencia",1,2,"A",10,7,2,3,21,11,4,4,5,1,0,0,3.6,3.4,2.1
"SP1","16/10/16","Villarreal","Celta",5,0,"H",11,4,5,1,19,12,3,5,1,4,0,1,1.85,3.4,4.75
"SP1","17/10/16","Eibar","Osasuna",2,3,"A",13,8,5,4,15,12,5,0,1,2,0,0,1.7,3.6,5
"SP1","21/10/16","Osasuna","Betis",1,2,"A",13,12,5,6,20,12,6,4,3,2,1,0,2.4,3.2,3.1
"SP1","22/10/16","Espanol","Eibar",3,3,"D",11,8,5,3,11,12,7,6,1,6,1,0,2.05,3.4,3.8
"SP1","22/10/16","Granada","Sp Gijon",0,0,"D",12,3,1,3,10,12,3,3,4,1,0,0,2.1,3.4,3.6
"SP1","22/10/16","Sociedad","Alaves",3,0,"H",16,10,5,3,17,20,4,2,3,5,0,0,1.67,3.75,5.5
"SP1","22/10/16","Valencia","Barcelona",2,3,"A",7,15,4,8,15,13,3,1,5,4,0,0,7,5.25,1.4
"SP1","23/10/16","Celta","La Coruna",4,1,"H",9,11,7,1,17,15,5,4,3,5,0,0,1.7,3.6,5.5
"SP1","23/10/16","Malaga","Leganes",4,0,"H",24,14,8,5,12,15,5,8,1,3,0,0,1.85,3.3,4.75
"SP1","23/10/16","Real Madrid","Ath Bilbao",2,1,"H",24,10,8,3,10,17,6,4,2,3,0,0,1.2,7,13
"SP1","23/10/16","Sevilla","Ath Madrid",1,0,"H",12,9,5,3,15,11,4,5,4,2,0,1,4,3.5,1.95
"SP1","23/10/16","Villarreal","Las Palmas",2,1,"H",14,8,4,4,16,12,2,1,2,3,0,0,1.67,3.8,5.25
"SP1","28/10/16","Leganes","Sociedad",0,2,"A",7,9,4,5,19,15,1,4,5,2,0,0,2.63,3.1,2.88
"SP1","29/10/16","Alaves","Real Madrid",1,4,"A",8,15,3,5,15,6,4,3,5,1,0,0,13,6.5,1.22
"SP1","29/10/16","Ath Madrid","Malaga",4,2,"H",16,6,7,3,10,10,6,2,2,4,1,1,1.22,6,15
"SP1","29/10/16","Barcelona","Granada",1,0,"H",15,1,5,0,7,17,8,1,1,4,0,0,1.05,17,34
"SP1","29/10/16","Sp Gijon","Sevilla",1,1,"D",9,20,5,6,17,9,3,4,6,2,0,0,3.8,3.6,1.95
"SP1","30/10/16","Ath Bilbao","Osasuna",1,1,"D",18,7,4,3,10,11,9,2,2,1,0,0,1.36,5,8.5
"SP1","30/10/16","Betis","Espanol",0,1,"A",13,10,5,5,15,15,8,3,3,3,0,0,2.25,3.25,3.4
"SP1","30/10/16","Eibar","Villarreal",2,1,"H",13,6,9,1,16,16,3,7,2,3,0,0,3,3.2,2.5
"SP1","30/10/16","Las Palmas","Celta",3,3,"D",17,9,8,6,13,22,8,1,2,6,0,1,2.3,3.3,3.2
"SP1","31/10/16","La Coruna","Valencia",1,1,"D",16,10,4,3,14,21,5,6,1,5,0,0,2.88,3.2,2.55
"SP1","04/11/16","Malaga","Sp Gijon",3,2,"H",22,7,7,4,12,20,9,2,5,4,0,1,1.73,3.6,5.25
"SP1","05/11/16","Granada","La Coruna",1,1,"D",14,13,6,5,11,7,7,6,1,2,0,0,2.6,3.2,2.8
"SP1","05/11/16","Las Palmas","Eibar",1,0,"H",16,13,6,5,10,20,7,4,1,4,0,0,1.91,3.5,4
"SP1","05/11/16","Osasuna","Alaves",0,1,"A",10,12,4,3,18,10,3,4,5,2,0,0,2.25,3.2,3.4
